ward_code,scenario,intervention,affected_domain,affected_indicator,baseline_pressure,scenario_pressure,pressure_change,effect,explanation
L,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,52.32919254658385,52.0315734989648,-0.2976190476190439,Modeled pressure decreases,"For ward L, the scenario 'Increase modeled green-space count by 20%' produces a -0.30-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
S,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,46.94185645272602,45.45376121463078,-1.4880952380952408,Modeled pressure decreases,"For ward S, the scenario 'Increase modeled green-space count by 20%' produces a -1.49-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RN,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,37.57058159232072,36.67772444946358,-0.8928571428571388,Modeled pressure decreases,"For ward RN, the scenario 'Increase modeled green-space count by 20%' produces a -0.89-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
KW,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,67.0795689817429,65.88909279126669,-1.190476190476204,Modeled pressure decreases,"For ward KW, the scenario 'Increase modeled green-space count by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
A,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,41.01221845787063,39.52412321977539,-1.4880952380952408,Modeled pressure decreases,"For ward A, the scenario 'Increase modeled green-space count by 20%' produces a -1.49-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
C,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,56.042960662525886,55.15010351966874,-0.8928571428571459,Modeled pressure decreases,"For ward C, the scenario 'Increase modeled green-space count by 20%' produces a -0.89-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
D,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,48.178602798168015,45.79765041721563,-2.3809523809523867,Modeled pressure decreases,"For ward D, the scenario 'Increase modeled green-space count by 20%' produces a -2.38-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
FS,green_space_plus_20,Increase modeled green-space count by 20%,Green Space,Green spaces per km² and per 100k population,45.21378380074032,45.21378380074032,0.0,No material modeled change,"For ward FS, the scenario 'Increase modeled green-space count by 20%' produces a 0.00-point change in modeled overall relative pressure. The directly affected domain is Green Space, through Green spaces per km² and per 100k population. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
GS,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,48.59817115251898,45.6219806763285,-2.9761904761904816,Modeled pressure decreases,"For ward GS, the scenario 'Increase modeled public transport nodes by 20%' produces a -2.98-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
FN,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,48.796975970889015,47.01126168517472,-1.7857142857142918,Modeled pressure decreases,"For ward FN, the scenario 'Increase modeled public transport nodes by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
MW,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,46.19408369408369,44.110750360750366,-2.083333333333321,Modeled pressure decreases,"For ward MW, the scenario 'Increase modeled public transport nodes by 20%' produces a -2.08-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
HW,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,40.54598782859652,37.86741640002509,-2.6785714285714306,Modeled pressure decreases,"For ward HW, the scenario 'Increase modeled public transport nodes by 20%' produces a -2.68-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
GN,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,60.6060606060606,59.11796536796536,-1.4880952380952408,Modeled pressure decreases,"For ward GN, the scenario 'Increase modeled public transport nodes by 20%' produces a -1.49-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
ME,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,52.551524562394114,52.551524562394114,0.0,No material modeled change,"For ward ME, the scenario 'Increase modeled public transport nodes by 20%' produces a 0.00-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
E,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,51.18302591128679,49.099692577953455,-2.083333333333336,Modeled pressure decreases,"For ward E, the scenario 'Increase modeled public transport nodes by 20%' produces a -2.08-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
HE,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,55.37831733483909,53.59260304912478,-1.785714285714306,Modeled pressure decreases,"For ward HE, the scenario 'Increase modeled public transport nodes by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RS,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,52.7969916556873,51.30889641759207,-1.4880952380952337,Modeled pressure decreases,"For ward RS, the scenario 'Increase modeled public transport nodes by 20%' produces a -1.49-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
T,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,41.7090156220591,41.113777526821,-0.5952380952380949,Modeled pressure decreases,"For ward T, the scenario 'Increase modeled public transport nodes by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
N,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,64.0159357550662,62.23022146935192,-1.7857142857142776,Modeled pressure decreases,"For ward N, the scenario 'Increase modeled public transport nodes by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
PS,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,54.29881109228936,53.108334901813166,-1.190476190476197,Modeled pressure decreases,"For ward PS, the scenario 'Increase modeled public transport nodes by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
PN,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,59.6085074345944,59.31088838697534,-0.297619047619051,Modeled pressure decreases,"For ward PN, the scenario 'Increase modeled public transport nodes by 20%' produces a -0.30-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
B,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,60.99269088399524,58.61173850304285,-2.3809523809523867,Modeled pressure decreases,"For ward B, the scenario 'Increase modeled public transport nodes by 20%' produces a -2.38-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RC,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,47.792364640190726,46.00665035447644,-1.7857142857142847,Modeled pressure decreases,"For ward RC, the scenario 'Increase modeled public transport nodes by 20%' produces a -1.79-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
KE,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,42.672062237279626,39.9934908087082,-2.6785714285714306,Modeled pressure decreases,"For ward KE, the scenario 'Increase modeled public transport nodes by 20%' produces a -2.68-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
L,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,52.32919254658385,51.43633540372671,-0.8928571428571388,Modeled pressure decreases,"For ward L, the scenario 'Increase modeled public transport nodes by 20%' produces a -0.89-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
S,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,46.94185645272602,46.34661835748792,-0.595238095238102,Modeled pressure decreases,"For ward S, the scenario 'Increase modeled public transport nodes by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RN,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,37.57058159232072,34.8920101637493,-2.6785714285714235,Modeled pressure decreases,"For ward RN, the scenario 'Increase modeled public transport nodes by 20%' produces a -2.68-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
KW,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,67.0795689817429,64.40099755317146,-2.6785714285714306,Modeled pressure decreases,"For ward KW, the scenario 'Increase modeled public transport nodes by 20%' produces a -2.68-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
A,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,41.01221845787063,40.119361315013485,-0.8928571428571459,Modeled pressure decreases,"For ward A, the scenario 'Increase modeled public transport nodes by 20%' produces a -0.89-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
C,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,56.042960662525886,53.95962732919255,-2.083333333333336,Modeled pressure decreases,"For ward C, the scenario 'Increase modeled public transport nodes by 20%' produces a -2.08-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
D,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,48.178602798168015,48.178602798168015,0.0,No material modeled change,"For ward D, the scenario 'Increase modeled public transport nodes by 20%' produces a 0.00-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
FS,public_transport_plus_20,Increase modeled public transport nodes by 20%,Transport,Transport nodes per 100k population and per km²,45.21378380074032,43.72568856264508,-1.4880952380952408,Modeled pressure decreases,"For ward FS, the scenario 'Increase modeled public transport nodes by 20%' produces a -1.49-point change in modeled overall relative pressure. The directly affected domain is Transport, through Transport nodes per 100k population and per km². This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
GS,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,48.59817115251898,47.606107660455486,-0.992063492063494,Modeled pressure decreases,"For ward GS, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.99-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
FN,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,48.796975970889015,47.60649978041283,-1.1904761904761827,Modeled pressure decreases,"For ward FN, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
MW,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,46.19408369408369,45.59884559884559,-0.5952380952380949,Modeled pressure decreases,"For ward MW, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
HW,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,40.54598782859652,39.75233703494573,-0.7936507936507908,Modeled pressure decreases,"For ward HW, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.79-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
GN,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,60.6060606060606,59.81240981240981,-0.7936507936507979,Modeled pressure decreases,"For ward GN, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.79-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
ME,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,52.551524562394114,51.956286467156026,-0.5952380952380878,Modeled pressure decreases,"For ward ME, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
E,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,51.18302591128679,50.587787816048696,-0.5952380952380949,Modeled pressure decreases,"For ward E, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
HE,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,55.37831733483909,54.18784114436289,-1.190476190476197,Modeled pressure decreases,"For ward HE, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RS,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,52.7969916556873,52.5985789572746,-0.198412698412703,Modeled pressure decreases,"For ward RS, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.20-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
T,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,41.7090156220591,40.51853943158291,-1.1904761904761898,Modeled pressure decreases,"For ward T, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -1.19-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
N,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,64.0159357550662,63.22228496141541,-0.7936507936507908,Modeled pressure decreases,"For ward N, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.79-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
PS,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,54.29881109228936,53.70357299705126,-0.595238095238102,Modeled pressure decreases,"For ward PS, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
PN,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,59.6085074345944,58.81485664094358,-0.7936507936508121,Modeled pressure decreases,"For ward PN, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.79-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
B,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,60.99269088399524,60.19904009034444,-0.7936507936507979,Modeled pressure decreases,"For ward B, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.79-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RC,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,47.792364640190726,47.19712654495264,-0.5952380952380878,Modeled pressure decreases,"For ward RC, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
KE,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,42.672062237279626,41.87841144362883,-0.7936507936507979,Modeled pressure decreases,"For ward KE, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.79-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
L,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,52.32919254658385,51.932367149758456,-0.3968253968253918,Modeled pressure decreases,"For ward L, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.40-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
S,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,46.94185645272602,46.34661835748792,-0.595238095238102,Modeled pressure decreases,"For ward S, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
RN,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,37.57058159232072,37.17375619549532,-0.3968253968253989,Modeled pressure decreases,"For ward RN, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.40-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
KW,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,67.0795689817429,66.2859181880921,-0.7936507936507979,Modeled pressure decreases,"For ward KW, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.79-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
A,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,41.01221845787063,40.21856766421984,-0.7936507936507908,Modeled pressure decreases,"For ward A, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.79-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
C,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,56.042960662525886,55.44772256728778,-0.595238095238102,Modeled pressure decreases,"For ward C, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.60-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
D,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,48.178602798168015,47.781777401342616,-0.3968253968253989,Modeled pressure decreases,"For ward D, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.40-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
FS,resolution_time_minus_20,Reduce modeled average complaint resolution time by 20%,Civic,Average resolution days,45.21378380074032,44.22172030867683,-0.992063492063494,Modeled pressure decreases,"For ward FS, the scenario 'Reduce modeled average complaint resolution time by 20%' produces a -0.99-point change in modeled overall relative pressure. The directly affected domain is Civic, through Average resolution days. This is a scenario simulation using the fixed UrbanSim V2 reference normalization and should not be interpreted as a causal prediction of real-world outcomes."
